label,sharpe,fitness,turnover,returns,drawdown,margin,checks_passed,settings,link,expression,alpha_id
基线,1.41,0.99,0.5143,0.2554,0.2134,0.000993,6/8,"decay=0,neut=MARKET,trunc=0.08",https://platform.worldquantbrain.com/alpha/om9d5PMb,"slope = ts_regression(ts_backfill(news_pct_1min,60), ts_step(1), 5, rettype=2);winsorize(-ts_backfill(news_max_up_ret,60) * abs(slope), std=4)",om9d5PMb
rank最终结果,0.35,0.1,0.3962,0.0295,0.1187,0.000149,4/8,"decay=0,neut=MARKET,trunc=0.08",https://platform.worldquantbrain.com/alpha/wpJrVvM5,"slope = ts_regression(ts_backfill(news_pct_1min,60), ts_step(1), 5, rettype=2);rank(winsorize(-ts_backfill(news_max_up_ret,60) * abs(slope), std=4))",wpJrVvM5
rank+SUBINDUSTRY,0.4,0.08,0.4776,0.0198,0.0611,8.3e-05,4/8,"decay=0,neut=SUBINDUSTRY,trunc=0.08",https://platform.worldquantbrain.com/alpha/xAmZaLQp,"slope = ts_regression(ts_backfill(news_pct_1min,60), ts_step(1), 5, rettype=2);rank(winsorize(-ts_backfill(news_max_up_ret,60) * abs(slope), std=4))",xAmZaLQp
group_zscore,1.13,0.42,0.5757,0.0783,0.0678,0.000272,5/8,"decay=0,neut=MARKET,trunc=0.08",https://platform.worldquantbrain.com/alpha/vRJQ0REw,"slope = ts_regression(ts_backfill(news_pct_1min,60), ts_step(1), 5, rettype=2);group_zscore(winsorize(-ts_backfill(news_max_up_ret,60) * abs(slope), std=4), subindustry)",vRJQ0REw
group_neutralize,1.66,0.94,0.7256,0.2306,0.1288,0.000635,5/8,"decay=0,neut=MARKET,trunc=0.08",https://platform.worldquantbrain.com/alpha/Gr3RV830,"slope = ts_regression(ts_backfill(news_pct_1min,60), ts_step(1), 5, rettype=2);group_neutralize(winsorize(-ts_backfill(news_max_up_ret,60) * abs(slope), std=4), subindustry)",Gr3RV830
backfill=120,1.39,0.97,0.5103,0.2498,0.2128,0.000979,6/8,"decay=0,neut=MARKET,trunc=0.08",https://platform.worldquantbrain.com/alpha/88KwAn5z,"slope = ts_regression(ts_backfill(news_pct_1min,120), ts_step(1), 5, rettype=2);winsorize(-ts_backfill(news_max_up_ret,120) * abs(slope), std=4)",88KwAn5z
regression=10天,1.2,0.86,0.3888,0.1995,0.2262,0.001026,5/8,"decay=0,neut=MARKET,trunc=0.08",https://platform.worldquantbrain.com/alpha/mLxvOa6x,"slope = ts_regression(ts_backfill(news_pct_1min,60), ts_step(1), 10, rettype=2);winsorize(-ts_backfill(news_max_up_ret,60) * abs(slope), std=4)",mLxvOa6x
trade_when,1.37,0.96,0.5021,0.2472,0.2297,0.000985,6/8,"decay=0,neut=MARKET,trunc=0.08",https://platform.worldquantbrain.com/alpha/N15ZM3Vp,"slope = ts_regression(ts_backfill(news_pct_1min,60), ts_step(1), 5, rettype=2);alpha = winsorize(-ts_backfill(news_max_up_ret,60) * abs(slope), std=4);trade_when(abs(slope) > 0, alpha, -1)",N15ZM3Vp
decay=1,1.41,0.99,0.5143,0.2554,0.2133,0.000993,6/8,"decay=1,neut=MARKET,trunc=0.08",https://platform.worldquantbrain.com/alpha/wpJrX85d,"slope = ts_regression(ts_backfill(news_pct_1min,60), ts_step(1), 5, rettype=2);winsorize(-ts_backfill(news_max_up_ret,60) * abs(slope), std=4)",wpJrX85d
rank+decay=1,0.32,0.08,0.3959,0.0264,0.1337,0.000134,4/8,"decay=1,neut=MARKET,trunc=0.08",https://platform.worldquantbrain.com/alpha/xAmZX8wJ,"slope = ts_regression(ts_backfill(news_pct_1min,60), ts_step(1), 5, rettype=2);rank(winsorize(-ts_backfill(news_max_up_ret,60) * abs(slope), std=4))",xAmZX8wJ
winsorize_std=2,1.21,0.75,0.5064,0.197,0.2228,0.000778,5/8,"decay=0,neut=MARKET,trunc=0.08",https://platform.worldquantbrain.com/alpha/om9dQnx2,"slope = ts_regression(ts_backfill(news_pct_1min,60), ts_step(1), 5, rettype=2);winsorize(-ts_backfill(news_max_up_ret,60) * abs(slope), std=2)",om9dQnx2
